Depth,Vp,Vs,Rho
0.0, 1.480, 0.005, 1.020
80.0, 1.480, 0.005, 1.020
700.0, 1.800, .674, 1.800
800.0, 2.270, .850, 2.100
806.0, 2.050, .620, 2.050
813.0, 2.050, .620, 2.050
821.0, 2.270, .850, 2.100
828.0, 2.050, .620, 2.050
836.0, 2.050, .620, 2.050
837.5, 2.270, .850, 2.100
845.0, 2.050, .620, 2.050
870.0, 2..050, .620, 2.050
871.5, 2.270, .850, 2.100
874.8, 2.050, .620, 2.050
890.0, 2.050, .620, 2.050
891.5, 2.270, .850, 2.100
891.5, 2.050, .620, 2.050
904.0, 2.050, .620, 2.050
905.5, 2.270, .850, 2.100
907.3, 2.050, .620, 2.050
918.0, 2.050, .620, 2.050
919.5, 2.270, .850, 2.100
922.0, 2.050, .620, 2.050
966.0, 2.050, .620, 2.050
967.5, 2.270, .850, 2.100
972.0, 2.050, .620, 2.050
1014.0, 2.050, .620, 2.050
1077.0, 2.050, .620, 2.050
1280.0, 2.270, .850, 2.100
2000.0, 2.000, .800, 2.000